zip,latitude,longitude,INCNUM
46219,39.7770399,-86.0404622,41063
46221,39.6759293,-86.2542198,41074
46219,39.8116801,-86.0167014,41259
46218,39.7911065,-86.096338,41501
46218,39.7994974,-86.13323919999999,41800
46222,39.8146293,-86.22865279999999,39107
Postcode Not Found,NA,NA,39646
Postcode Not Found,NA,NA,39799
46201,39.7846976,-86.11940539999999,39809
46204,39.7686226,-86.15653619999999,39860
46219,39.7982427,-86.06180669999999,40117
46201,39.7747104,-86.0998302,40158
46254,39.831065,-86.272127,40870
Postcode Not Found,NA,NA,40975
46224,39.7766094,-86.26293749999999,41003
Postcode Not Found,NA,NA,41049
46203,39.757145,-86.089778,41158
46254,39.841408,-86.277723,41242
46229,39.78888,-86.06663379999999,41317
46251,39.6991877,-86.27395399999999,42754
46201,39.766829,-86.09614649999999,41489
46218,39.8257736,-86.1164517,38626
46250,39.9104235,-86.0545138,38687
46218,39.8034097,-86.12273119999999,41560
Postcode Not Found,NA,NA,41887
46227,39.7156665,-86.13982630000001,41946
46204,39.7687229,-86.1547076,41601
46254,39.8232601,-86.27901639999999,41624
46226,39.8335071,-86.0218888,41743
46226,39.7814044,-86.10178479999999,41925
Postcode Not Found,NA,NA,41965
46226,39.8192317,-86.06674050000001,41992
46227,39.66676959999999,-86.1302083,42109
46201,39.7698628,-86.12167339999999,41994
46222,39.7925881,-86.2054659,41276
46235,39.825679,-85.984223,41278
46107,39.7046769,-86.113055,41514
46237,39.6718882,-86.06821339999999,41656
46205,39.8196963,-86.1438076,41731
46202,39.7766677,-86.1470746,41786
46220:46240,39.885231,-86.1285731,41933
Postcode Not Found,NA,NA,39578
46221,39.6768145,-86.2522857,40044
Postcode Not Found,NA,NA,42131
46260,39.884272,-86.19764400000001,42248
46203,39.754261,-86.1294532,42324
46220,39.8704828,-86.14229399999999,42309
46202,39.7944533,-86.1485919,42334
46228,39.8404249,-86.19966749999999,42338
46254,39.848574,-86.25680190000001,42418
46234,39.7648139,-86.25364739999999,42446
46222,39.8135491,-86.23248819999999,42484
46205,39.8353744,-86.141369,42211
46224,39.821607,-86.2397,42444
46205,39.8315736,-86.1048733,42022
Postcode Not Found,NA,NA,42274
46220,39.8678187,-86.122771,40542
46203,39.7575195,-86.0988452,40570
46278,39.8115139,-86.2231972,40716
46208,39.8086953,-86.1736063,42459
Postcode Not Found,NA,NA,42476
46237,39.6888258,-86.0639327,42649
Postcode Not Found,NA,NA,42623
Postcode Not Found,NA,NA,42650
46278,39.8571164,-86.2673894,42672
46208,39.8082952,-86.17297099999999,42831
Postcode Not Found,NA,NA,42840
Postcode Not Found,NA,NA,42983
Postcode Not Found,NA,NA,43009
Postcode Not Found,NA,NA,42946
Postcode Not Found,NA,NA,43002
46204,39.7658841,-86.15849999999999,43107
46218,39.8136217,-86.1295184,42498
Postcode Not Found,NA,NA,42507
46237,39.66439829999999,-86.0920198,42504
46241,39.7581333,-86.2420679,42609
46227,39.64945410000001,-86.1152733,42697
Postcode Not Found,NA,NA,42737
46218,39.8230167,-86.09347249999999,20148
Postcode Not Found,NA,NA,42756
Postcode Not Found,NA,NA,42767
46227,39.7038348,-86.13734389999999,41818
46254,39.8192543,-86.2742466,42916
46224,39.7692947,-86.2611072,42668
46231,39.7373002,-86.3210969,43099
Postcode Not Found,NA,NA,43104
46226,39.8290261,-86.0304558,19994
46204,39.7685876,-86.1481878,25688
46208,39.8082952,-86.17297099999999,22746
46208,39.8077934,-86.17304999999999,20081
46201,39.7828972,-86.08634789999999,20094
46221,39.7172393,-86.22833530000001,20205
46254,39.83954629999999,-86.2724944,32097
46222,39.7665166,-86.19652099999999,28935
46256,39.8906985,-86.04610199999999,29039
46225,39.7644424,-86.15785749999999,37770
46201,39.77853760000001,-86.1099626,42625
46226,39.8321566,-86.0126556,20122
46201,39.77793260000001,-86.11449189999999,20129
46201,39.780138,-86.09433159999999,20181
