zip,latitude,longitude,INCNUM
46202,39.7918858,-86.1876715,25083
46203,39.7540602,-86.14216429999999,16620
46201,39.7814661,-86.09273,16763
46201,39.781348,-86.11509699999999,16764
46218,39.7943521,-86.0880651,16810
46231,39.662397,-86.29240209999999,17061
46201,39.7811823,-86.1160829,17514
46224,39.809903,-86.2530853,16866
46205,39.8369091,-86.15619830000001,16886
46225,39.76303679999999,-86.1590196,16997
46219,39.7742336,-86.01066759999999,17064
46241,39.7578864,-86.28822199999999,20733
46226,39.8244197,-86.0240371,17193
46208,39.8084936,-86.17617249999999,20443
46203,39.762761,-86.138137,17023
46074:46260,39.9283512,-86.15808009999999,16826
46217,39.6983364,-86.18463229999999,16889
46231,39.7443275,-86.27215939999999,17060
46214,39.812071,-86.30213800000001,17182
46226,39.8281977,-86.04514909999999,17222
46235,39.8257577,-86.0992596,17109
46206,39.74617780000001,-86.1881354,28196
46225,39.7640625,-86.157788299999993,17299
46254,39.8273064,-86.2522614,17301
46201,39.7799523,-86.1099469,24218
46235,39.8249529,-86.1206065,24232
46204,39.7690145,-86.148941,24374
46204,39.7681879,-86.1430032,24404
46260,39.8803112,-86.20000069999999,24553
46222,39.7681447,-86.2031823,34924
46204,39.7690145,-86.148941,24805
46220,39.8709142,-86.14280149999999,24814
46201,39.7801079,-86.0943238,24841
46205,39.823187,-86.1270132,20427
46250,39.9246229,-86.066777,20576
46227,39.7076634,-86.113199,20585
46226,39.8243394,-86.0441171,34156
46219,39.7814969,-86.0108219,25030
46203,39.7434072,-86.0885837,25369
46225,39.764013,-86.15792499999999,30862
46222,39.77476900000001,-86.22669289999999,29647
46222,39.7610182,-86.20526720000001,25385
46254,39.8381121,-86.24415350000001,25406
46206,39.7618099,-86.16051399999999,25411
46222,39.7754002,-86.2161294,25665
46203,39.7008272,-86.0815909,25802
46220,39.8565772,-86.1284445,25810
46221,39.72898199999999,-86.2513333,25828
46201,39.781626,-86.1162545,25837
46254,39.858695,-86.239677,25395
46254-2406,39.8166205,-86.25331460000001,25659
46241,39.7441768,-86.24371470000001,25701
46254,39.82393039999999,-86.2384345,26150
46227,39.6527822,-86.1099867,25892
46205,39.8408355,-86.1191206,25997
46226,39.8277551,-86.081571,24858
46204,39.7673926,-86.16041469999999,20578
46203,39.7624843,-86.0826633,20660
46113,39.6388475,-86.3243854,20701
46208,39.813271,-86.18455680000001,20811
46254,39.8312663,-86.253571,25120
46260,39.9242437,-86.1571324,25377
46241,39.7195234,-86.2289189,25159
46222,39.7833347,-86.1906727,25271
46218,39.8145775,-86.0913372,16985
46241,39.7533081,-86.2466182,17078
46222,39.7746916,-86.19586319999999,25880
46214,39.808546,-86.27082109999999,20763
46204,39.7690563,-86.1649096,20727
46222,39.7634573,-86.2227777,20784
46208,39.7773284,-86.1573312,20814
46218,39.8180874,-86.1228665,20616
46205,39.8447855,-86.1467764,32640
46202,39.7911356,-86.1569337,24798
46201,39.7647623,-86.0919203,21137
46225,39.73911280000001,-86.1569536,20890
462778,39.9282823,-86.3386251,33290
46240,39.9170264,-86.143721,20949
46226,39.8402051,-86.1220213,20986
46237,39.6518669,-86.0833471,20990
46241,39.7533081,-86.2466182,17256
46239,39.764604,-86.09817799999999,20320
46222,39.779682,-86.21899599999999,20658
46218,39.8191022,-86.0904874,20691
46222,39.809883,-86.22161779999999,21252
46234,39.7644376,-86.2627126,21061
46235,39.8257633,-86.0838474,21268
46204,39.768403,-86.158068,21279
34623,39.6499115,-86.081429,21353
46229,39.7974908,-86.0410097,21364
46218,39.8063206,-86.11889819999999,21520
46221,39.7164441,-86.2323443,21102
46235,39.8256229,-86.0559179,21110
46226,39.818022,-86.0644105,21204
46205,39.803318,-86.1443658,21216
46241,39.7517799,-86.239605,21313
46208,39.8044212,-86.17095379999999,21376
46222,39.7741556,-86.15964,21474
46254,39.8381121,-86.24415350000001,21480
46219,39.8038636,-86.01064769999999,21497
46204,39.768403,-86.158068,30656
46225,39.7640344,-86.1587622,21752
46222,39.79031459999999,-86.23366109999999,21759
46226,39.8248937,-86.1022742,21266
46201,39.7795542,-86.1185311,21561
46234,39.7804403,-86.1921008,21764
Postcode Not Found,NA,NA,42503
46225,39.761935,-86.15963599999999,21789
46227,39.6564016,-86.127049,21908
46222,39.7752455,-86.2164292,21934
Postcode Not Found,NA,NA,21966
46205,39.8360463,-86.1214416,22002
46237,39.6637028,-86.08449689999999,25503
46254,39.82393039999999,-86.2384345,25928
46235,39.8241585,-86.0094976,26008
46203,39.74391869999999,-86.135454,26033
46204,39.7699533,-86.1469553,26646
46268,39.8793987,-86.20718579999999,21598
46224,39.788395,-86.159352,22058
46203,39.7455257,-86.1296775,21802
46219,39.7826865,-86.04314200000002,21768
46201,39.7687009,-86.1060178,22078
46204,39.7685876,-86.1481878,32715
46204,39.7699994,-86.1616229,39558
46225,39.7612374,-86.1574306,22130
46268,39.9061584,-86.23983059999999,22281
46227,39.72388,-86.15703599999999,22288
Postcode Not Found,NA,NA,39234
46225,39.7469422,-86.1594093,22335
46201,39.768242,-86.12198099999999,32986
46204,39.76690730000001,-86.1338732,23721
46219,39.76027879999999,-86.10164669999999,22466
46201,39.7691679,-86.0914825,22512
46218,39.7956589,-86.0955421,21991
46201,39.7680566,-86.12584369999999,22089
46241,39.743733400000004,-86.2145196,22124
46254,39.8538414,-86.2603243,22237
46203,39.747812,-86.13180799999999,22242
46234,39.7644815,-86.3193336,22341
46226,39.8281386,-86.0260157,22127
46227,39.725068,-86.12117889999999,22184
46208,39.813271,-86.18455680000001,20820
46205,39.8447855,-86.1467764,20830
46220,39.865307,-86.12547099999999,20983
46204,39.7694368,-86.1594301,20991
46201,39.7816202,-86.1166525,21013
46225,39.7640344,-86.1587622,21112
46222,39.7871115,-86.2075309,21179
46254,39.8234384,-86.2696576,22444
46224,39.81664,-86.24427899999999,22473
