lon,lat,OBJECTID,INCNUM,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,FULL_ADD,UOF_FORCE_TYPE,UOF_REASON,SERVICE_TYPE,CIT_ARRESTED,CITCHARGE_TYPE,CIT_WEAPON_TYPE,CIT_INJURED,CIT_HOSPITAL,OFF_INJURED,OFF_HOSPITAL,CITNUM,RACE,SEX,CIT_AGE,CIT_COND_TYPE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE
-86.211874,39.8011625,23001,20362,2017-04-11,02:01:00:000,Operations division,Northwest district,NW LATE SHIFT,UNREPORTED,In compliance,"2400   Lafayette Road, Indianapolis, IN",Less lethal-taser,Non-Compliant,Investigation,No,NA,Unreported,No,No,No,No,11942,Black,Male,34,Unreported,3236,White,Male,26,2,Unreported
-86.211874,39.8011625,23002,20362,2017-04-11,02:01:00:000,Operations division,Northwest district,NW LATE SHIFT,UNREPORTED,In compliance,"2400   Lafayette Road, Indianapolis, IN",Physical-take down,Non-Compliant,Investigation,No,NA,Unreported,No,No,No,No,11942,Black,Male,34,Unreported,3254,White,Male,29,2,Unreported
-86.1573312,39.7773284,23003,20363,2017-04-14,19:45:00:000,Operations division,Downtown  district,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,In compliance,"777 N Meridian Street, Indianapolis, IN",Less lethal-taser,Resisting Arrest,Warrant Service,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,11940,Black,Male,29,No injuries noted or visible,1814,White,Male,43,10,No injuries noted or visible
-86.1573312,39.7773284,23004,20363,2017-04-14,19:45:00:000,Operations division,Downtown  district,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,In compliance,"777 N Meridian Street, Indianapolis, IN",Less lethal-taser,Resisting Arrest,Warrant Service,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,11940,Black,Male,29,No injuries noted or visible,1814,White,Male,43,10,No injuries noted or visible
-86.1573312,39.7773284,23005,20363,2017-04-14,19:45:00:000,Operations division,Downtown  district,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,In compliance,"777 N Meridian Street, Indianapolis, IN",Physical-weight leverage,Resisting Arrest,Warrant Service,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,11940,Black,Male,29,No injuries noted or visible,1814,White,Male,43,10,No injuries noted or visible
-86.1573312,39.7773284,23006,20363,2017-04-14,19:45:00:000,Operations division,Downtown  district,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,In compliance,"777 N Meridian Street, Indianapolis, IN",Physical-handcuffing,Resisting Arrest,Warrant Service,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,11940,Black,Male,29,No injuries noted or visible,1814,White,Male,43,10,No injuries noted or visible
-86.231889,39.724642,23007,20368,2017-04-14,10:00:00:000,Operations division,East district,NEIGHBORHOOD IMPACT,FLEX TEAM,In compliance,"2749 S Rybolt Avenue, Indianapolis, IN",Physical-kick,Non-Compliant,Warrant Service,Yes,Possession of Methamphetamine,Unreported,No,No,No,No,11935,White,Male,24,No injuries noted or visible,3035,White,Male,31,7,Unreported
-86.231889,39.724642,23008,20368,2017-04-14,10:00:00:000,Operations division,East district,NEIGHBORHOOD IMPACT,FLEX TEAM,In compliance,"2749 S Rybolt Avenue, Indianapolis, IN",Physical-kick,Non-Compliant,Warrant Service,Yes,Possession of Methamphetamine,Unreported,No,No,No,No,11935,White,Male,24,No injuries noted or visible,3035,White,Male,31,7,Unreported
-86.231889,39.724642,23009,20368,2017-04-14,10:00:00:000,Operations division,East district,NEIGHBORHOOD IMPACT,FLEX TEAM,In compliance,"2749 S Rybolt Avenue, Indianapolis, IN",Physical-kick,Non-Compliant,Warrant Service,Yes,Possession of Methamphetamine,Unreported,No,No,No,No,11935,White,Male,24,No injuries noted or visible,3035,White,Male,31,7,Unreported
-86.231889,39.724642,23010,20368,2017-04-14,10:00:00:000,Operations division,East district,NEIGHBORHOOD IMPACT,FLEX TEAM,In compliance,"2749 S Rybolt Avenue, Indianapolis, IN",Physical-kick,Non-Compliant,Warrant Service,Yes,Possession of Methamphetamine,Unreported,No,No,No,No,11935,White,Male,24,No injuries noted or visible,3035,White,Male,31,7,Unreported
-86.231889,39.724642,23011,20368,2017-04-14,10:00:00:000,Operations division,East district,NEIGHBORHOOD IMPACT,FLEX TEAM,In compliance,"2749 S Rybolt Avenue, Indianapolis, IN",Physical-kick,Non-Compliant,Warrant Service,Yes,Visiting a Common Nuisance,Unreported,No,No,No,No,11935,White,Male,24,No injuries noted or visible,3035,White,Male,31,7,Unreported
-86.231889,39.724642,23012,20368,2017-04-14,10:00:00:000,Operations division,East district,NEIGHBORHOOD IMPACT,FLEX TEAM,In compliance,"2749 S Rybolt Avenue, Indianapolis, IN",Physical-kick,Non-Compliant,Warrant Service,Yes,Visiting a Common Nuisance,Unreported,No,No,No,No,11935,White,Male,24,No injuries noted or visible,3035,White,Male,31,7,Unreported
-86.231889,39.724642,23013,20368,2017-04-14,10:00:00:000,Operations division,East district,NEIGHBORHOOD IMPACT,FLEX TEAM,In compliance,"2749 S Rybolt Avenue, Indianapolis, IN",Physical-kick,Non-Compliant,Warrant Service,Yes,Visiting a Common Nuisance,Unreported,No,No,No,No,11935,White,Male,24,No injuries noted or visible,3035,White,Male,31,7,Unreported
-86.231889,39.724642,23014,20368,2017-04-14,10:00:00:000,Operations division,East district,NEIGHBORHOOD IMPACT,FLEX TEAM,In compliance,"2749 S Rybolt Avenue, Indianapolis, IN",Physical-kick,Non-Compliant,Warrant Service,Yes,Visiting a Common Nuisance,Unreported,No,No,No,No,11935,White,Male,24,No injuries noted or visible,3035,White,Male,31,7,Unreported
-86.1050927,39.772196,23015,20370,2017-04-14,14:25:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"3602 E New York Street, Indianapolis, IN",Physical-knee strike,Fleeing,Traffic Stop,Yes,Possession of Cocaine (F),Unreported,No,No,No,No,11946,Black,Male,31,No injuries noted or visible,3316,White,Male,27,1,No injuries noted or visible
-86.1050927,39.772196,23016,20370,2017-04-14,14:25:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"3602 E New York Street, Indianapolis, IN",Physical-take down,Fleeing,Traffic Stop,Yes,Possession of Cocaine (F),Unreported,No,No,No,No,11946,Black,Male,31,No injuries noted or visible,3316,White,Male,27,1,No injuries noted or visible
-86.1050927,39.772196,23017,20370,2017-04-14,14:25:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"3602 E New York Street, Indianapolis, IN",Physical-knee strike,Fleeing,Traffic Stop,Yes,Dealing Cocaine,Unreported,No,No,No,No,11946,Black,Male,31,No injuries noted or visible,3316,White,Male,27,1,No injuries noted or visible
-86.1050927,39.772196,23018,20370,2017-04-14,14:25:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"3602 E New York Street, Indianapolis, IN",Physical-take down,Fleeing,Traffic Stop,Yes,Dealing Cocaine,Unreported,No,No,No,No,11946,Black,Male,31,No injuries noted or visible,3316,White,Male,27,1,No injuries noted or visible
-86.1050927,39.772196,23019,20370,2017-04-14,14:25:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"3602 E New York Street, Indianapolis, IN",Physical-knee strike,Fleeing,Traffic Stop,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,11946,Black,Male,31,No injuries noted or visible,3316,White,Male,27,1,No injuries noted or visible
-86.1050927,39.772196,23020,20370,2017-04-14,14:25:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"3602 E New York Street, Indianapolis, IN",Physical-take down,Fleeing,Traffic Stop,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,11946,Black,Male,31,No injuries noted or visible,3316,White,Male,27,1,No injuries noted or visible
-86.1050927,39.772196,23021,20370,2017-04-14,14:25:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"3602 E New York Street, Indianapolis, IN",Physical-knee strike,Fleeing,Traffic Stop,Yes,Driving While Suspended,Unreported,No,No,No,No,11946,Black,Male,31,No injuries noted or visible,3316,White,Male,27,1,No injuries noted or visible
-86.1050927,39.772196,23022,20370,2017-04-14,14:25:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"3602 E New York Street, Indianapolis, IN",Physical-take down,Fleeing,Traffic Stop,Yes,Driving While Suspended,Unreported,No,No,No,No,11946,Black,Male,31,No injuries noted or visible,3316,White,Male,27,1,No injuries noted or visible
-86.1050927,39.772196,23023,20370,2017-04-14,14:25:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"3602 E New York Street, Indianapolis, IN",Physical-knee strike,Fleeing,Traffic Stop,Yes,Possession of Paraphernalia,Unreported,No,No,No,No,11946,Black,Male,31,No injuries noted or visible,3316,White,Male,27,1,No injuries noted or visible
