lon,lat,OBJECTID,INCNUM,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,FULL_ADD,UOF_FORCE_TYPE,UOF_REASON,SERVICE_TYPE,CIT_ARRESTED,CITCHARGE_TYPE,CIT_WEAPON_TYPE,CIT_INJURED,CIT_HOSPITAL,OFF_INJURED,OFF_HOSPITAL,CITNUM,RACE,SEX,CIT_AGE,CIT_COND_TYPE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE
-86.2796244,39.7444034,1764,6035,2014-12-13,13:10:00:000,Administration division,Training bureau,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,In compliance,"6840 W Washington Street, Indianapolis, IN",Body weight leverage,Resisting Arrest,Arrest,Yes,Intimidation,Unreported,No,No,Yes,No,2263,Black,Male,36,Unreported,3262,White,Male,25,0,Minor bleeding
-86.2796244,39.7444034,1765,6035,2014-12-13,13:10:00:000,Administration division,Training bureau,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,In compliance,"6840 W Washington Street, Indianapolis, IN",Handcuffing,Resisting Arrest,Arrest,Yes,Intimidation,Unreported,No,No,Yes,No,2263,Black,Male,36,Unreported,3262,White,Male,25,0,Minor bleeding
-86.2796244,39.7444034,1769,6035,2014-12-13,13:10:00:000,Administration division,Training bureau,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,In compliance,"6840 W Washington Street, Indianapolis, IN",Handcuffing,Resisting Arrest,Arrest,Yes,Battery (M),Unreported,No,No,Yes,No,2263,Black,Male,36,Unreported,2314,White,Male,43,13,Unreported
-86.2796244,39.7444034,1766,6035,2014-12-13,13:10:00:000,Administration division,Training bureau,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,In compliance,"6840 W Washington Street, Indianapolis, IN",Body weight leverage,Resisting Arrest,Arrest,Yes,Shoplifting - Theft,Unreported,No,No,Yes,No,2263,Black,Male,36,Unreported,3262,White,Male,25,0,Minor bleeding
-86.2796244,39.7444034,1767,6035,2014-12-13,13:10:00:000,Administration division,Training bureau,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,In compliance,"6840 W Washington Street, Indianapolis, IN",Handcuffing,Resisting Arrest,Arrest,Yes,Shoplifting - Theft,Unreported,No,No,Yes,No,2263,Black,Male,36,Unreported,3262,White,Male,25,0,Minor bleeding
-86.2796244,39.7444034,1768,6035,2014-12-13,13:10:00:000,Administration division,Training bureau,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,In compliance,"6840 W Washington Street, Indianapolis, IN",Body weight leverage,Resisting Arrest,Arrest,Yes,Battery (M),Unreported,No,No,Yes,No,2263,Black,Male,36,Unreported,2314,White,Male,43,13,Unreported
-86.2796244,39.7444034,1770,6035,2014-12-13,13:10:00:000,Administration division,Training bureau,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,In compliance,"6840 W Washington Street, Indianapolis, IN",Body weight leverage,Resisting Arrest,Arrest,Yes,Resisting Law Enforcement (F),Unreported,No,No,Yes,No,2263,Black,Male,36,Unreported,2314,White,Male,43,13,Unreported
-86.2796244,39.7444034,1771,6035,2014-12-13,13:10:00:000,Administration division,Training bureau,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,In compliance,"6840 W Washington Street, Indianapolis, IN",Handcuffing,Resisting Arrest,Arrest,Yes,Resisting Law Enforcement (F),Unreported,No,No,Yes,No,2263,Black,Male,36,Unreported,2314,White,Male,43,13,Unreported
-86.2796244,39.7444034,1772,6035,2014-12-13,13:10:00:000,Administration division,Training bureau,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,In compliance,"6840 W Washington Street, Indianapolis, IN",Body weight leverage,Resisting Arrest,Arrest,Yes,Intimidation,Unreported,No,No,Yes,No,2263,Black,Male,36,Unreported,2314,White,Male,43,13,Unreported
-86.2796244,39.7444034,1773,6035,2014-12-13,13:10:00:000,Administration division,Training bureau,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,In compliance,"6840 W Washington Street, Indianapolis, IN",Handcuffing,Resisting Arrest,Arrest,Yes,Intimidation,Unreported,No,No,Yes,No,2263,Black,Male,36,Unreported,2314,White,Male,43,13,Unreported
