lon,lat,OBJECTID,INCNUM,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,FULL_ADD,UOF_FORCE_TYPE,UOF_REASON,SERVICE_TYPE,CIT_ARRESTED,CITCHARGE_TYPE,CIT_WEAPON_TYPE,CIT_INJURED,CIT_HOSPITAL,OFF_INJURED,OFF_HOSPITAL,CITNUM,RACE,SEX,CIT_AGE,CIT_COND_TYPE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE
-86.22603289999999,39.7605887,12001,14118,2016-05-07,03:44:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"3810 W Washington Street, Indianapolis, IN",Physical-elbow strike,Combative Suspect,Arrest,Yes,Public Intoxication,Unreported,Yes,Yes,Yes,No,7704,Other,Male,30,Minor scrapes,2171,White,Male,41,18,Complaint of pain
-86.22603289999999,39.7605887,12002,14118,2016-05-07,03:44:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"3810 W Washington Street, Indianapolis, IN",Physical-leg sweep,Combative Suspect,Arrest,Yes,Public Intoxication,Unreported,Yes,Yes,Yes,No,7704,Other,Male,30,Minor scrapes,2171,White,Male,41,18,Complaint of pain
-86.22603289999999,39.7605887,12003,14118,2016-05-07,03:44:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"3810 W Washington Street, Indianapolis, IN",Physical-palm strike,Combative Suspect,Arrest,Yes,Public Intoxication,Unreported,Yes,Yes,Yes,No,7704,Other,Male,30,Minor scrapes,2171,White,Male,41,18,Complaint of pain
-86.22603289999999,39.7605887,12004,14118,2016-05-07,03:44:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"3810 W Washington Street, Indianapolis, IN",Physical-knee strike,Combative Suspect,Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,Yes,No,7704,Other,Male,30,Laceration,2171,White,Male,41,18,Complaint of pain
-86.22603289999999,39.7605887,12005,14118,2016-05-07,03:44:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"3810 W Washington Street, Indianapolis, IN",Physical-handcuffing,Combative Suspect,Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,Yes,No,7704,Other,Male,30,Laceration,2171,White,Male,41,18,Complaint of pain
-86.22603289999999,39.7605887,12006,14118,2016-05-07,03:44:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"3810 W Washington Street, Indianapolis, IN",Physical-joint/pressure,Combative Suspect,Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,Yes,No,7704,Other,Male,30,Laceration,2171,White,Male,41,18,Complaint of pain
-86.22603289999999,39.7605887,12007,14118,2016-05-07,03:44:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"3810 W Washington Street, Indianapolis, IN",Physical-elbow strike,Combative Suspect,Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,Yes,No,7704,Other,Male,30,Laceration,2171,White,Male,41,18,Complaint of pain
-86.22603289999999,39.7605887,12008,14118,2016-05-07,03:44:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"3810 W Washington Street, Indianapolis, IN",Physical-leg sweep,Combative Suspect,Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,Yes,No,7704,Other,Male,30,Laceration,2171,White,Male,41,18,Complaint of pain
-86.22603289999999,39.7605887,12009,14118,2016-05-07,03:44:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"3810 W Washington Street, Indianapolis, IN",Physical-palm strike,Combative Suspect,Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,Yes,No,7704,Other,Male,30,Laceration,2171,White,Male,41,18,Complaint of pain
-86.22603289999999,39.7605887,12010,14118,2016-05-07,03:44:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"3810 W Washington Street, Indianapolis, IN",Physical-knee strike,Combative Suspect,Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,Yes,No,7704,Other,Male,30,Minor scrapes,2171,White,Male,41,18,Complaint of pain
