lon,lat,OBJECTID,INCNUM,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,FULL_ADD,UOF_FORCE_TYPE,UOF_REASON,SERVICE_TYPE,CIT_ARRESTED,CITCHARGE_TYPE,CIT_WEAPON_TYPE,CIT_INJURED,CIT_HOSPITAL,OFF_INJURED,OFF_HOSPITAL,CITNUM,RACE,SEX,CIT_AGE,CIT_COND_TYPE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE
-86.14178,39.9417479,32001,24021,2017-11-11,15:37:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"2900   Macpherson Street, Indianapolis, IN",Less lethal-cs/oc,Resisting Arrest,Arrest,Yes,Resisting Law Enforcement (F),Unreported,Yes,Yes,No,No,14312,Black,Male,26,Minor scrapes,3374,White,Male,31,2,No injuries noted or visible
-86.14178,39.9417479,32002,24021,2017-11-11,15:37:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"2900   Macpherson Street, Indianapolis, IN",Physical-handcuffing,Resisting Arrest,Arrest,Yes,Resisting Law Enforcement (F),Unreported,Yes,Yes,No,No,14312,Black,Male,26,Minor scrapes,3374,White,Male,31,2,No injuries noted or visible
-86.14178,39.9417479,32003,24021,2017-11-11,15:37:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"2900   Macpherson Street, Indianapolis, IN",Physical-leg sweep,Resisting Arrest,Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,No,No,14312,Black,Male,26,Minor scrapes,3374,White,Male,31,2,No injuries noted or visible
-86.14178,39.9417479,32004,24021,2017-11-11,15:37:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"2900   Macpherson Street, Indianapolis, IN",Physical-weight leverage,Resisting Arrest,Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,No,No,14312,Black,Male,26,Minor scrapes,3374,White,Male,31,2,No injuries noted or visible
-86.14178,39.9417479,32005,24021,2017-11-11,15:37:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"2900   Macpherson Street, Indianapolis, IN",Less lethal-cs/oc,Resisting Arrest,Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,No,No,14312,Black,Male,26,Minor scrapes,3374,White,Male,31,2,No injuries noted or visible
-86.14178,39.9417479,32006,24021,2017-11-11,15:37:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"2900   Macpherson Street, Indianapolis, IN",Physical-handcuffing,Resisting Arrest,Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,No,No,14312,Black,Male,26,Minor scrapes,3374,White,Male,31,2,No injuries noted or visible
-86.14178,39.9417479,32007,24021,2017-11-11,15:37:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"2900   Macpherson Street, Indianapolis, IN",Physical-leg sweep,Resisting Arrest,Arrest,Yes,Warrant Arrest,Unreported,Yes,Yes,No,No,14312,Black,Male,26,Minor scrapes,3374,White,Male,31,2,No injuries noted or visible
-86.14178,39.9417479,32008,24021,2017-11-11,15:37:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"2900   Macpherson Street, Indianapolis, IN",Physical-weight leverage,Resisting Arrest,Arrest,Yes,Warrant Arrest,Unreported,Yes,Yes,No,No,14312,Black,Male,26,Minor scrapes,3374,White,Male,31,2,No injuries noted or visible
-86.14178,39.9417479,32009,24021,2017-11-11,15:37:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"2900   Macpherson Street, Indianapolis, IN",Less lethal-cs/oc,Resisting Arrest,Arrest,Yes,Warrant Arrest,Unreported,Yes,Yes,No,No,14312,Black,Male,26,Minor scrapes,3374,White,Male,31,2,No injuries noted or visible
-86.14178,39.9417479,32010,24021,2017-11-11,15:37:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"2900   Macpherson Street, Indianapolis, IN",Physical-handcuffing,Resisting Arrest,Arrest,Yes,Warrant Arrest,Unreported,Yes,Yes,No,No,14312,Black,Male,26,Minor scrapes,3374,White,Male,31,2,No injuries noted or visible
-86.24415350000001,39.8381121,32011,24023,2017-11-11,20:50:00:000,Operations division,Northwest district,NW LATE SHIFT,UNREPORTED,In compliance,"4545   Lafayette Drive, Indianapolis, IN",Physical-handcuffing,Resisting Arrest,Arrest,No,Resisting Law Enforcement (M),Unreported,Yes,No,No,No,14313,Black,Male,33,Complaint of pain,3356,White,Male,37,2,No injuries noted or visible
-86.24415350000001,39.8381121,32012,24023,2017-11-11,20:50:00:000,Operations division,Northwest district,NW LATE SHIFT,UNREPORTED,In compliance,"4545   Lafayette Drive, Indianapolis, IN",Less lethal-taser,Resisting Arrest,Arrest,No,Resisting Law Enforcement (M),Unreported,Yes,No,No,No,14313,Black,Male,33,Complaint of pain,3356,White,Male,37,2,No injuries noted or visible
-86.24415350000001,39.8381121,32013,24023,2017-11-11,20:50:00:000,Operations division,Northwest district,NW LATE SHIFT,UNREPORTED,In compliance,"4545   Lafayette Drive, Indianapolis, IN",Physical-other,Resisting Arrest,Arrest,No,Resisting Law Enforcement (M),Unreported,Yes,No,No,No,14313,Black,Male,33,Complaint of pain,3356,White,Male,37,2,No injuries noted or visible
-86.24415350000001,39.8381121,32014,24023,2017-11-11,20:50:00:000,Operations division,Northwest district,NW LATE SHIFT,UNREPORTED,In compliance,"4545   Lafayette Drive, Indianapolis, IN",Physical-handcuffing,Resisting Arrest,Arrest,No,Battery (F),Unreported,Yes,No,No,No,14313,Black,Male,33,Complaint of pain,3356,White,Male,37,2,No injuries noted or visible
-86.24415350000001,39.8381121,32015,24023,2017-11-11,20:50:00:000,Operations division,Northwest district,NW LATE SHIFT,UNREPORTED,In compliance,"4545   Lafayette Drive, Indianapolis, IN",Less lethal-taser,Resisting Arrest,Arrest,No,Battery (F),Unreported,Yes,No,No,No,14313,Black,Male,33,Complaint of pain,3356,White,Male,37,2,No injuries noted or visible
-86.24415350000001,39.8381121,32016,24023,2017-11-11,20:50:00:000,Operations division,Northwest district,NW LATE SHIFT,UNREPORTED,In compliance,"4545   Lafayette Drive, Indianapolis, IN",Physical-other,Resisting Arrest,Arrest,No,Battery (F),Unreported,Yes,No,No,No,14313,Black,Male,33,Complaint of pain,3356,White,Male,37,2,No injuries noted or visible
-86.24415350000001,39.8381121,32017,24023,2017-11-11,20:50:00:000,Operations division,Northwest district,NW LATE SHIFT,UNREPORTED,In compliance,"4545   Lafayette Drive, Indianapolis, IN",Physical-handcuffing,Resisting Arrest,Arrest,No,Battery (M),Unreported,Yes,No,No,No,14313,Black,Male,33,Complaint of pain,3356,White,Male,37,2,No injuries noted or visible
-86.24415350000001,39.8381121,32021,24023,2017-11-11,20:50:00:000,Operations division,Northwest district,NW LATE SHIFT,UNREPORTED,In compliance,"4545   Lafayette Drive, Indianapolis, IN",Less lethal-taser,Resisting Arrest,Arrest,No,Theft/Receiving Stolen Property,Unreported,Yes,No,No,No,14313,Black,Male,33,Complaint of pain,3356,White,Male,37,2,No injuries noted or visible
