zip,latitude,longitude,INCNUM
46201,39.78239600000001,-86.1135223,31754
46225,39.763425,-86.157719,10190
46218,39.7946348,-86.0925571,10199
46222,39.7851325,-86.215542,8071
46226,39.7928056,-86.082021,28064
46226,39.8327807,-86.0640428,8166
46219,39.7715154,-86.0187782,10232
46227,39.7042456,-86.1554311,10314
46224,39.767095,-86.262258,10023
46203,39.7479736,-86.0937611,8324
46208,39.8104297,-86.1593677,8107
46204,39.7679081,-86.15315729999999,8327
46226,39.8110051,-86.1028644,8384
46201,39.7695875,-86.08368809999999,15441
46214,39.8175759,-86.2664678,15446
46229,39.7823809,-85.9799468,15475
46278,39.8353783,-86.24721919999999,8448
46224,39.8221943,-86.267737,8684
46201,39.7753469,-86.1007951,8691
46201,39.7814527,-86.1095497,10353
46222,39.7838008,-86.2159787,10421
46219,39.781081,-86.12100199999999,10439
46260,39.9081715,-86.1639094,10446
46218,39.8047524,-86.1236684,21632
46201,39.7788885,-86.0972457,8471
46229,39.79766619999999,-85.9737432,8517
46201,39.7882913,-86.1073364,8595
46201,39.7882913,-86.1073364,8596
44623,39.6934957,-86.0125958,15381
46208,39.8011382,-86.1825954,15397
46203,39.7469348,-86.11637040000001,15494
46222,39.7659613,-86.1935507,8121
46218,39.7779725,-86.1168296,8141
46240,39.9146201,-86.11124,8284
462058,39.8199365,-86.1200367,29277
46218,39.7960615,-86.11188290000001,15495
46219,39.7814383,-86.0946324,15721
46201,39.7822606,-86.1147013,15723
46205,39.797382,-86.14109499999999,15737
46225,39.7626481,-86.1578388,26816
46260,39.882058,-86.19554,8562
46218,39.7897185,-86.1070623,8563
46235,39.8241585,-86.0094976,8588
46208,39.8211576,-86.1568218,34275
46201,39.7860266,-86.1256343,8670
46260,39.9101277,-86.2639774,8687
46224,39.7692281,-86.2609648,15759
Postcode Not Found,NA,NA,15778
46204,39.772409,-86.1661945,15788
46201,39.7748049,-86.11197059999999,15807
46226,39.8413346,-86.0487182,8636
46204,39.7679599,-86.15296219999999,8702
46219,39.7983744,-86.05815810000001,8705
46203,39.7437242,-86.1270357,21544
46221,39.7139509,-86.23796039999999,15736
46222,39.7923431,-86.20657779999999,31330
46201,39.7853942,-86.10568959999999,8706
46221,39.6853039,-86.2454211,8761
46225,39.763425,-86.157719,8831
46220,39.8712718,-86.1439005,15871
46239,39.7552364,-85.9810809,15940
46218,39.81124800000001,-86.125569,15937
46220:46240,39.8870207,-86.12308469999999,16029
46221,39.6837643,-86.2559574,22086
46222,39.7746979,-86.1938115,8646
46202,39.7977662,-86.1491221,15489
46268,39.8557521,-86.23969079999999,27063
46225,39.7371,-86.17547770000002,15643
46234,39.7788539,-86.288497,17907
46205,39.8232253,-86.1080769,15805
46221,39.7444256,-86.1940407,15857
46227,39.6818331,-86.12657519999999,32409
46225,39.7516389,-86.1644436,41919
46234,39.7792721,-86.28917299999999,8422
46052,40.0378428,-86.45571199999999,41910
46219,39.7782313,-86.0216169,16073
46225,39.7631219,-86.15844969999999,16247
46208,39.8095298,-86.17392889999999,16370
46201,39.7795066,-86.125782,16472
46220:46240,39.871616,-86.13024899999999,16444
46226,39.8210936,-86.0919459,16253
46229,39.7994049,-85.98932099999999,16276
34623,39.6391305,-86.08409879999999,16114
46226,39.8383016,-86.0629378,15873
46224,39.77099940000001,-86.2459568,16175
46203,39.7536655,-86.13067819999999,16348
46218,39.7836906,-86.11647409999999,16440
46203,39.744797,-86.10092449999999,15568
46226,39.8258036,-86.0459645,8802
46218,39.82497,-86.11471800000001,10398
46201,39.7785466,-86.1266464,10410
46222,39.765862,-86.19663299999999,10125
46256,39.9059375,-86.0401804,10505
46226,39.8413346,-86.0487182,8614
46201,39.7849048,-86.1289417,8642
46218,39.8048694,-86.12536209999999,8760
46221,39.7274549,-86.2498337,8857
46201,39.7735466,-86.0948336,16544
46225,39.763425,-86.157719,16545
46203,39.73134,-86.13946519999999,16571
46203,39.7416442,-86.0761965,16665
46208,39.788124,-86.1569734,16700
46205,39.83666119999999,-86.1279126,16813
46205,39.8043571,-86.14439089999999,41241
46221,39.6668518,-86.2475628,17049
46201,39.7780576,-86.0937556,17105
46260,39.9111954,-86.21564479999999,17159
46218,39.7838293,-86.11535769999999,17270
46235,39.8253431,-86.10270899999999,18241
46205,39.8394127,-86.1408919,19224
46205,39.8202337,-86.1255013,18509
46225,39.763425,-86.157719,30740
46227,39.71331250000001,-86.150772,22436
46227,39.7245768,-86.15132679999999,19256
46218,39.8144566,-86.0908457,18644
46203,39.7569036,-86.1255212,18768
46218,39.8229507,-86.115477,21457
46225,39.7636802,-86.16142529999999,18227
46254,39.8229518,-86.26889489999999,18239
46205,39.8394127,-86.1408919,18309
46202,39.7865034,-86.1553436,18337
46222,39.8063345,-86.2276037,18458
46203,39.722904,-86.14771069999999,20907
46203,39.72892179999999,-86.1272911,18527
46222,39.7738243,-86.2159291,18709
46218,39.82497,-86.11471800000001,18728
46203,39.7569036,-86.1255212,18766
46206,39.763551,-86.157924,10585
46225,39.763425,-86.157719,10633
46225,39.7466,-86.155934,10662
46225,39.72501210000001,-86.15369390000001,10703
46203,39.73728089999999,-86.151752,10922
46218,39.7910106,-86.1147709,10981
46235,39.8267106,-85.991068,11087
46203,39.7386574,-86.0830041,10991
46206,39.758647,-86.1824748,11108
46225,39.7261341,-86.1564466,14541
46219,39.80360110000001,-86.0595122,9075
46226,39.8242569,-86.02110569999999,12828
46218,39.8018955,-86.0672867,9545
46254,39.8283895,-86.236538,9255
46208,39.8086953,-86.1736063,29722
46206,39.763551,-86.157924,18072
46229,39.79560499999999,-86.041651,18188
46202,39.7779389,-86.155858,18928
46226,39.797083,-86.0640317,19082
46214,39.76652869999999,-86.277553,18925
46227,39.6734296,-86.1378482,19027
46225,39.763425,-86.157719,10531
46221,39.73358,-86.2169614,10570
46224,39.76793,-86.261268,19160
