lon,lat,INCNUM
-85.9804051,39.7816128,41816
-86.1994108,39.7454356,42152
-86.15087489999999,39.7467551,42171
-86.1202959,39.6464519,42627
-86.24371470000001,39.7441768,42646
-86.3019495,39.8144831,42809
-86.0959178,39.9229519,42812
-86.16388769999999,39.7601007,42889
-86.2619917,39.8442507,43077
-86.17357899999999,39.850585,43036
-86.25986999999999,39.882151,42920
-86.08142110000001,39.8251486,40731
-86.1571324,39.7600017,42896
-86.2415012,39.8557621,43042
-86.2094499,39.8840716,43045
-86.2138049,39.8094082,43043
-86.13164479999999,39.7149909,41837
-86.0637898,39.8110463,40840
-86.1394691,39.7339502,41942
-86.2052241,39.7879525,38601
-86.1213957,39.8868467,39420
-86.23477140000001,39.8244129,41310
NA,NA,21966
-86.1616229,39.7699994,39558
-86.1324379,39.7709956,40428
-86.252625,39.827444,39586
-86.11225449999999,39.8039301,42633
-86.10318649999999,39.7552964,39360
-86.2587657,39.8355875,40901
-86.1414231,39.9176175,42129
-86.1198491,39.6437826,40603
-86.2710616,39.82737849999999,40705
-86.15061299999999,39.766538,40880
-86.2023682,39.7654456,38597
-86.042649,39.822965,41136
-86.10432440000001,39.821878,41805
-86.042649,39.822965,41922
-86.17532279999999,39.7546998,41538
-86.1308706,39.8122613,39443
-86.18938,39.7966849,39951
-86.19872420000002,39.6712417,41404
-86.1458263,39.8709208,42520
-86.18938,39.7966849,40315
-86.1313876,39.8151295,39063
-86.0636937,39.8023772,40218
-86.1611272,39.8245467,38982
-86.1577606,39.8249401,38552
-86.112175,39.7832007,38570
-86.2566516,39.7292659,38795
-86.14924769999999,39.7692863,38536
-86.07500209999999,39.694269,38595
-86.23134240000002,39.7498677,38749
-86.1198132,39.6678839,38878
-86.2098738,39.7885136,38926
-86.2557163,39.8327999,38537
-86.160849,39.74860839999999,38661
-86.2566516,39.7292659,38572
-86.1473728,39.7890719,38646
-86.1577684,39.8254194,38977
-86.230763,39.731535,38819
-86.0134927,39.7799012,38877
-86.13564009999999,39.767894,38745
-86.155638,39.7227641,38806
-86.0641023,39.7711164,39435
-86.11731920000001,39.7927684,39465
-86.030431,39.7225218,39714
-86.30011549999999,39.7786761,39753
-86.1427992,39.8693532,40022
-86.230099,39.8104191,40242
-86.07016209999999,39.68245,40416
-86.21733859999999,39.7827703,40471
-86.05811349999999,39.8249341,40960
-86.2565108,39.8168142,43069
-86.14420179999999,39.6951633,39228
-86.04093,39.900941,39568
-86.1212511,39.83074939999999,39738
-86.2578085,39.8151987,39769
-86.2438279,39.842275,39911
-86.198039,39.7683184,40268
-86.1553984,39.768272,40762
-86.1947026,39.7655167,40807
-86.1164666,39.7825197,40850
-86.1074237,39.6656561,41432
-86.1561387,39.7858869,41154
-86.0404622,39.7770399,41063
-86.2542198,39.6759293,41074
-86.0167014,39.8116801,41259
-86.096338,39.7911065,41501
-86.13323919999999,39.7994974,41800
-86.22865279999999,39.8146293,39107
-86.11940539999999,39.7846976,39809
-86.15653619999999,39.7686226,39860
-86.06180669999999,39.7982427,40117
-86.0998302,39.7747104,40158
