lat,lon,INCNUM
39.7640344,-86.1587622,5098
39.84506270000001,-86.10540759999999,5108
39.8138682,-86.1599745,5109
39.784982,-86.17927000000002,5112
39.7927164,-86.204473,5113
39.750471,-86.24367199999999,5114
39.8192829,-86.2605648,5116
39.786947,-86.06765589999999,5121
39.7764509,-85.98966999999999,5124
39.7690563,-86.1649096,5122
39.7124547,-86.12854399999999,5128
39.7792699,-85.9813269,5129
39.768403,-86.158068,5130
39.82217989999999,-86.15729139999999,5150
39.8125603,-85.9872857,5152
39.6478973,-86.1132094,5154
39.7514944,-86.1022575,5155
39.7710972,-86.10216489999999,5162
39.81055720000001,-86.1106629,5165
39.7740683,-86.19138579999999,5169
39.7966819,-86.046471,5187
39.8247878,-86.25204749999999,5203
39.7443711,-86.0903282,5204
39.7720706,-86.0881789,5212
39.8692061,-86.14573960000001,5213
39.82727800000001,-86.007767,5216
39.7705466,-86.059094,5217
39.7681821,-86.1262122,5218
39.8180476,-86.14058100000001,5219
39.6957505,-86.1312062,5223
39.7676895,-86.2159865,5224
39.7822727,-86.107283,5261
39.77685779999999,-86.15890499999999,5266
39.81209370000001,-86.1605174,5270
39.65434,-86.1764673,5274
39.7775492,-86.1238901,5285
39.75020600000001,-86.095068,5286
39.8620206,-86.198387,5287
39.7436109,-86.14003269999999,5292
39.7663047,-86.15932389999999,5291
39.7569617,-86.24063919999999,5293
39.8626107,-86.1340042,5295
39.6659991,-86.1823691,5298
39.7824971,-86.20515510000001,5299
39.8237034,-86.2589247,5300
39.8620206,-86.198387,5301
39.7640625,-86.157788299999993,5305
39.7615704,-86.21850979999999,5330
39.7564685,-86.1838681,5332
39.8191114,-86.15949379999999,5356
39.8051638,-86.1854987,5337
39.7953753,-86.04730409999999,5360
39.777547,-86.295011,5361
39.752432,-86.123553,5362
39.64834880000001,-86.1705862,5363
39.7363579,-86.1391934,5365
39.8030272,-86.00973839999999,5379
39.763425,-86.157719,5387
39.8994345,-86.2037383,5389
39.8381121,-86.24415350000001,5421
39.759782,-86.2382839,5441
39.7487892,-86.18817059999999,5444
39.7978464,-86.1335041,5454
39.78263,-86.049217,5457
39.719732,-85.9877757,5459
39.7489297,-86.2157604,5470
39.6600224,-86.14971919999999,5466
39.7266694,-86.2301612,5472
39.81787780000001,-86.0988651,5474
39.7489303,-86.0968156,5481
39.7618151,-86.06528660000001,5508
39.817967,-86.0973329,5516
39.923785,-86.07240399999999,5529
39.7744299,-86.15109,5544
39.8822251,-86.2408932,5563
39.796712,-86.05059039999999,5589
39.800367,-86.003005,5590
39.71228199999999,-86.2401903,5592
39.9057457,-86.17882159999999,5593
39.7813564,-86.0829571,5596
39.867348,-86.09553799999999,5597
39.7902959,-86.1447379,5599
39.8241585,-86.0094976,5626
39.78470859999999,-85.9879911,5629
39.7457572,-86.25345589999999,5630
39.783585,-86.207037,5644
39.8072966,-86.1646595,5667
39.7751403,-85.97614899999999,5668
39.8194117,-86.1579752,5692
39.7730506,-86.1162329,5697
39.8230341,-86.1591904,5700
39.7640344,-86.1587622,5709
39.7643952,-86.15744699999999,5711
39.8777062,-86.1578502,5716
39.80581919999999,-86.1111008,5720
39.7056029,-86.15622429999999,5750
39.8247216,-86.06484189999999,5756
39.8086317,-86.17266719999999,5757
39.858834,-86.091348,5759
39.858834,-86.091348,5758
39.8239485,-86.2503674,5763
39.7671478,-86.1162499,5766
39.749743,-86.252324,5772
39.830747,-86.006816,5776
39.826423,-86.10612499999999,5777
